,class,title
17870,Business,Sunny Fed leaves no doubt about another rate increase
17871,World,Moves to rid schools of weapons
17872,World,Syria under Security Council Scrutiny ... A Gift from Syria to &lt;b&gt;...&lt;/b&gt;
17873,Sci/tech,Leaner Longhorn Will Delay Microsoft Business Framework
17874,Sports,No Longer A Rumour...
17875,Sci/tech,Music Services Score an A-Plus
17876,Business,FCC threatens to investigate SBC
17877,World,Landmark 50 years for Guinness Book of Records
17878,World,Mariners Fire Melvin After Two Seasons
17879,Sports,IOC urges Turin organizers to resolve problems soon
17880,Business,Update 1: Southwest Offers \$100M for ATA Assets
17881,Business,AmEx wants rivals to pay
17882,Business,"Oil Swamps Stocks, Supports Bond Prices"
17883,Sci/tech,New Crop of Portable Players Nips at IPod (AP)
17884,Business,Boyd Gaming Buys Land Next to Stardust Las Vegas
17885,Business,"TXU Raises Dividend, Yearly Forecasts"
17886,Sports,Hockey Stars Raise Money for Firefighters (AP)
17887,Sports,White in Heisman Form
17888,Sports,Steelers Extend Win Streak to 11 Games (AP)
17889,Sports,"Sportsview: Roddick, Agassi Blown Out Open (AP)"
17890,Business,Trendy retailers get dressed for work (USATODAY.com)
17891,Sci/tech,Mandrakesoft in \$7.3 million stock sell-off
17892,Sci/tech,Samoa Worm Sperm Spawns Annual Fiesta
17893,Sports,Morientes claims Liverpool interest
17894,World,US Forces Pound Falluja Before Offensive
17895,World,A mother's search for her children
17896,Sci/tech,Extreme microchips take the heat
17897,World,Pre-Election Suits Feed Election Doubts (AP)
17898,Sci/tech,Dell Touts Grid Computing Over Proprietary Systems
17899,Sports, #39;Hold 2nd Test in Dhaka as well #39;
17900,Business,Economy: Raspy Second Wind
17901,Business,MSN Music gears up to play
17902,World,Musharraf #39;s Kashmir solution hypothetical: Aziz
17903,Sci/tech,Intel suggests upgrading internet to Intelnet
17904,Business,Cendant near \$1.2B deal to buy Orbitz
17905,World,China wants answers on oil-for-food
17906,Sci/tech,Adobe beefs up Acrobat
17907,World,Mortar Shell Hits Mosque in Iraq
17908,Sports,"Dress for success, especially at your sentencing"
17909,Sports,LAVER: FEDERER SLAM THREAT
17910,Business,Update 1: Andrx Misses Forecast on Drug Delays
17911,Sports,Ex-tennis star Tanner arrested
17912,Sports,Titans Kinney leaves with left calf injury
17913,World,India says peace talks 'dependent' on Pakistan reining in Kashmir rebels (AFP)
17914,World,U.S. Official: No Prospect of Bargain on Iran Nukes (Reuters)
17915,World,IAEA Says It Warned U.S. About Explosives (AP)
17916,Sports,Lewis' Suspension Issued
17917,Business,Intrinsa could be out by spring
17918,World,Musharraf elevates ISI chief to top post
17919,Sports,"Redskins Top Giants, Break Losing Streak (AP)"
17920,World,"Afghan Blasts Kill at Least 17, Taliban Hits Kabul"
17921,Sci/tech,Device has keen sense for mini-motions
17922,World,"Bush, Kerry to square off in last debate (AFP)"
17923,Business,US Core Inflation Hotter Than Expected
17924,Sci/tech,Stroke Steals One Woman #39;s Dreams
17925,Business,Car production in 1st 3 quarters lower than expected
17926,Sports,Trahan Gets First Nationwide Victory (AP)
17927,Sci/tech,ICANN Commences DNT Policy
17928,Business,Novell wins windfall Microsoft settlement
17929,Sports,"Clement surprise leader at Madrid Open, Montgomerie four back"
17930,Business,Update 3: US Airways Gets OK to Cut Workers #39; Pay
17931,Business,HP bags \$500 million outsourcing deal
17932,Sci/tech,Warning over fake Viagra
17933,World,Senate stamp on Pervez post
17934,Business,US Airways shares rise on hopes for pilots pact
17935,Sports,Crisp Sparks Indians
17936,Sports,COLLINGWOOD GUIDES ENGLAND TO VICTORY
17937,Sci/tech,Apple #39;s IPod Features U2 Collaboration
17938,Sci/tech,Nokia plots enterprise move
17939,Business,Insurance fees under fire
17940,Sports,BCS situation is enough to give anyone a headache
17941,Sports,His father made him a Cardinals fan forever
17942,Sci/tech,Malfunctioning oxygen generator may force space station to be &lt;b&gt;...&lt;/b&gt;
17943,Sports,Serena Williams picks China Open title
17944,World,Myanmar appoints new PM in major cabinet reshuffle
17945,World,World 'forgets' internal refugees
17946,Sports,Practice Makes Credit
17947,World,U.S. Warplane Drops Bombs on Fallujah (AP)
17948,World,Judge: No Iraq abuse photos ban
17949,Sports,Big finish is just a start for duo
17950,World,Checkpoint Hebrew Finds Way Into Palestinian Lexicon
17951,World,Chinese submarine puts Japan on Red alert
17952,World,Vibrating sex toy shuts Australian airport
17953,Sci/tech,Australia Music Industry Decries Kazaa (AP)
17954,Sports,This Date in Baseball - Aug. 17 (AP)
17955,Sci/tech,Circuit City Switching From T-Mobile To Verizon
17956,Sci/tech,Reviewing iMac G5
17957,Sci/tech,SpaceShipOne Wins \$10 Million X-Prize with Launch
17958,World,Fla. Supreme Court Puts Nader on Ballot
17959,World,Ukraine Opposition Pulls Out of Talks
17960,Sci/tech,Is There Life After BEA?
17961,Sports,Mismatch Turns Competitive as Henin-Hardenne Faces Rookie
17962,Sports,Olympics man on indecency charges
17963,Sci/tech,LondonTimes goes tabloid after 216 years
17964,Sports,Will this finally be the year?
17965,Sports,Notes: Dodgers gaining experience
17966,Sci/tech,German bank customers victims of phishing
17967,World,US Supreme Court stops execution of mentally disabled man (AFP)
17968,Sci/tech,Sun Microsystems Sets Sights on Low-End Market
17969,Sports,Rice #39;s anger about broken streak seems over
17970,Sci/tech,Microsoft Director of Windows Product Management Talks Firefox
17971,World,US battles to protect Afghan election
17972,Sports,=== One-hit wonders by Backe and Kent give Houston NLCS lead ===
17973,Sports,"Ivan Hlinka, 54, Czech Coach of Gold Medal Hockey Team, Dies"
17974,Sci/tech,SCO Posts Q3 Loss as Legal Costs Mount
17975,World,Violent end to life of crime for India #39;s most wanted bandit
17976,Sci/tech,Mozilla Mulls Desktop Search Features for Firefox Browser (PC World)
17977,Sports,Roddick Blasts Way Past Safin Into Masters Semis
17978,Sci/tech,Still No Fix for U.S. Space Shuttle (Reuters)
17979,Business,Mixed ruling in RIM patent suit could affect entire wireless e &lt;b&gt;...&lt;/b&gt;
17980,Business,Two-For-One Sale
17981,Business,"Stocks Flat, Oil Retreats, Dollar Weakens"
17982,Business,US airline ATA files for bankruptcy
17983,Sports,Gulls settling in to varsity roost
17984,Sports,Rose faces struggle to hit top 40
17985,Business,Wal-Mart September Sales Rise 2.4 Percent
17986,Sports,Windies looking to bury the past
17987,World,Briton Sheds More Light on Guantanamo Hell
17988,World,Straw upbeat over Iraq elections
17989,World,Billy Joel in Walk of Fame honour
17990,Business,US subsidies in spotlight
17991,Sci/tech,Microsoft trials piracy lock on Download Centre
17992,Sports,Francona Fails to Manage Martnez
17993,Business,Westfield Group still a favourite
17994,Sports,US BASKETBALL OUT OF GOLD MEDAL GAME
17995,Business,Segal to get full hearing on release
17996,World,Stocks Higher As Oil Retreats From Highs
17997,Business,Court weighs wine shipping rules
17998,World,Interim Iraqi President Favors Jan. 30 Election
17999,World,Critics Say Putin Must Address Security Corruption
18000,Sci/tech,MIKE WENDLAND: Pricey iPod upgrade worth every dime
18001,World,Kathmandu hit by  #39;rebel #39; blasts
18002,World,MTV Turns Up Celeb Heat in Sizzling Miami
18003,Sci/tech,Apple Expo 2004 Paris
18004,Business,Eyetech Pins Its Hopes (and Shares) on New Drug
18005,Sports,Cycling: Jimenez Wins 10th Stage of Tour of Spain
18006,Sports,Forlan aiming for fresh start at Villarreal
18007,Sports,SOUNESS BLASTS BOLTON #39;S STYLE
18008,Business,Rio Tinto: Demand good despite high oil prices
18009,Sports,Souness Is Talk of the Toon
18010,Business,Mortgage Applications Rise in Week
18011,Business,Tobacco firms deny public misled
18012,Business,China Agrees to Work on Exchange Rate
18013,Sports,Brazilian Grand Prix Fact File - the 700th F1 GP
18014,Sci/tech,Google Plans Desktop Search Tool for Apple PCs
18015,Business,Merck Chief Is Asked to Testify
18016,World,Israelis and Palestinians seek release of kidnapped journalist
18017,Sports,Georgia Overcomes First SEC Road Test (AP)
18018,World,Pitcairn Islander pleads guilty to sex crime charges
18019,Sports,"Knicks Are Ready, Even if Houston Isn #39;t"
18020,World,Iraqi Sunni Clerics Threaten Election Boycott
18021,World,Iraq car bombs wreaking havoc
18022,World,Nephew: Suspicions about Arafat #39;s death
18023,World,Dozens killed in Iraq unrest
18024,Business,"European Shares Gain, But Bonds Slip"
18025,Sci/tech,"IBM beats estimates, a positive sign for industry (USATODAY.com)"
18026,Business,Positive Wales in jobs lead
18027,Business,Oil Explorers Searching Ever More Remote Areas
18028,Sci/tech,IBM to acquire content management firm Venetica
18029,Sci/tech,"FastT100 offers cost-effective, reliable storage for consolidation &lt;b&gt;...&lt;/b&gt;"
18030,World,Tribute to brave submarine crew
18031,World,"Woman, 79, Accused of Cocaine Smuggling (AP)"
18032,Business,Services Help Social Networks Get Connected
18033,World,Analysis: Putin #39;s permanent problem
18034,Sports,"Bundesliga matches, Oct 2-3"
18035,Sports,Giants ink Benitez to three-year deal
18036,World,"As Voting Rolls Increase, So Do the Wild Cards"
18037,Business,Consumer Spending Stronger Than Expected
18038,World,Catholics Resist Wooing by Kerry and Bush (AP)
18039,Sci/tech,Corporates get a case of the wireless jitters
18040,Sci/tech,IBM Contributes Speech Recognition Software to Open Source
18041,World,Sub tragedy may divert Martin's first major foreign tour as PM (Canadian Press)
18042,World,Peres: Israeli Extremists May Try to Kill Sharon
18043,Business,Oil Ends Above \$55 on Winter Supply Fears
18044,World,"Let Israel, Palestine find their own peace"
18045,Business,Mitsubishi Buys Shares in Isuzu Motors
18046,World,Child healthcare goals to be set
18047,Sports,Boston baying at moon
18048,Sci/tech,"Mmo2, Lucent to launch 3G mobile network in summer  #39;05"
18049,Sports,DUI Case Leaves Hole in Redskins #39; Secondary
18050,Business,Trade regulator to probe unfair trade allegations -report
18051,Business,Report: Telecordia to be Bought for \$1.3B
18052,World,Death plot Briton jailed in US
18053,Sci/tech,Spinning space probe to record the  #39;birth cries #39; of black holes
18054,Sports,"Roddick, Venus, Navratilova Win Openers (AP)"
18055,World,Israel's Sharon Survives Two No-Confidence Votes
18056,World,Mixing of votes begins in Afghanistan
18057,World,Opel workers stage work stoppages in protest against job cuts (AFP)
18058,Sports,Irish could silence some critics with win over the Vols
18059,Business,Cable Internet case goes to Supreme Court
18060,Sci/tech,Ballmer Says Apple Won #39;t Dominate Digital Technology
18061,World,"Pakistani, US national arrested in New York bomb plot (AFP)"
18062,World,Suicide Bombers Kill 20 Iraqi Security Personnel
18063,Business,BCE Inc. expects \$578 million from selling most of stake in &lt;b&gt;...&lt;/b&gt;
18064,World,Israeli Settlers Vow to Fight Sharon Plan (AP)
18065,Business,"As Stewart Enters Prison, Her Company Refurbishes"
18066,World,"Bambang: If we lack credibility or integrity, we are worthless"
18067,Business,"US Airways, unions seek compromise"
18068,Sports,Nets Get Carter From Raptors in Bid to Rebuild Fractured Core
18069,Sports,Gill: Bring back old format
18070,Business,Ex-Qwest Exec Tom Hall to Plead Guilty
18071,Sports,"Federer, Roddick, Hewitt pull out of Madrid Masters"
18072,Sci/tech,Clash of the Titans - When Search Engines Collide
18073,Business,Markets punish Martha further
18074,Sports,United Is Short-Handed
18075,Sports,Spirit of St. Louis: Five home runs
18076,Sports,Ruud response delights Fergie
18077,World,Barghouthi to Run for Palestinian President
18078,World,Baghdad's Strong Man Struggles to Keep His Grip
18079,World,Court Doctors Examine Pinochet for Trial (Reuters)
18080,Sci/tech,US Wants No Warming Proposal
18081,Sports,Baseball must clean up its act
18082,World,Japan's Hot Springs Sullied by Scandal (AP)
18083,Business,Schultz:  #39;Bittersweet #39; As Starbucks #39; Smith Plans To Retire
18084,World,Searching for peace in Nigeria
18085,Business,Australias Amcor ousts CEO amid cartel probe
18086,Sci/tech,Spyware lawsuit in the US
18087,Sci/tech,Microsoft pulls out of standards group over intellectual property &lt;b&gt;...&lt;/b&gt;
18088,World,Al-Sadr Says U.S. Can't Defeat Militia (AP)
18089,Sports,Montoya bows out of Williams with Brazil victory
18090,World,Thai hospitals on alert for more bird flu cases
18091,World,Namibians go to the polls
18092,Sci/tech,New EU Competition Chief Gave Honorary Degree To Gates
18093,Sports,Bernabeu Clash To Finish On January 5
18094,Sci/tech,Asteroid (4179) Toutatis to Pass Closely By Earth on Wednesday &lt;b&gt;...&lt;/b&gt;
18095,Sci/tech,Here's the Hook: Gifts for Online Bill Payers
18096,Business,Stocks in Retreat As Oil Nears \$50 Mark
18097,World,Gambling law shake-up is unveiled
18098,Sci/tech,Climate Researchers Toast Vintners' Grape Harvest Records
18099,Business,US retail sales climb 0.1 percent in November (AFP)
18100,Sports,"Pride, Prizes Aplenty as Tennis Year Nears Climax"
18101,Sports,"Italy: Juventus win, AC Milan held by Brescia"
18102,Business,"Blue-Chip Stocks, Bond Prices, Oil Drop"
18103,Sci/tech,"IBM Third-Quarter Earnings, Revenue Rise (AP)"
18104,Business,Exxon Mobil to Take Charge
18105,World,Troubled Mitsubishi Motors denies reported tie-up with PSA Peugeot (AFP)
18106,Sports,"Mauresmo Comes Up Short, Hewitt Cruises"
18107,World,Indo-Pak talks: No time frame for Kashmir
18108,World,"Coal mine blast leaves 56 dead, nearly 100 missing in central &lt;b&gt;...&lt;/b&gt;"
18109,World,Powell Wins Israeli Pledge on Palestinian Election
18110,Sports,ACC Is Leagues Ahead
18111,Business,Wine Case Goes to High Court
18112,Sports,Martinez may step up a spot for a Game 5
18113,Sci/tech,Kodak catches up with Sony in camera sales
18114,World,Top UK Court Rejects Anti-Terror Detention Policy
18115,Sports,Hoeppner new coach at Indiana
18116,Business,"Coke, EU Strike Deal, End Antitrust Probe"
18117,Sci/tech,Mars rovers get new lease on life
18118,Sports,Bellhorn Helps Boston to 2-0 Lead in World Series
18119,Sports,Hungarian Weight Lifter and Hammer Champ Face Loss of Medals
18120,World,Falluja takes more US hits
18121,Business,Sakhalin to Supply America
18122,Sports,Man Utd v Arsenal
18123,World,No Pause in Foreign Exodus from Ivory Coast
18124,Business,Kraft net drops 4 percent
18125,Sports,Buckeyes give Marshall boot
18126,Sci/tech,THE NASA DIET
18127,Sports,Ntini strikes early for Proteas
18128,Sports,"A spot for Harvard, NU"
18129,Sci/tech,"Siebel, EDS Ink BPO Deal"
18130,World,"Armed Group Seizes Russian School, Talks Start"
18131,Business,Illinois group warns parents of potentially dangerous toys
18132,Sci/tech,Jet record marked by Guinness
18133,Business,Australian Nickel Miner Announces Upgrade
18134,Business,"Stocks higher on latest GDP reading, lower oil prices"
18135,Sci/tech,NASA Picks Swede Launch Site for Giant Balloons
18136,World,UK ; Ex-lover seeks input into Blunkett visa abuse probe: report
18137,Business,Wal-Mart Exec Tom Coughlin to Retire
18138,Sports,Newcastle and Dnipro Win Third Straight (AP)
18139,World,Japan vs. Russia on Kuril islands
18140,Business,IBM in talks to sell its PC business
18141,World,Pakistan vows to back Nepal in fight against terrorism
18142,Sports,Pot Black ace loved pocket life
18143,Sci/tech,Washington Dems Get Out the Vote
18144,Business,"Nymex Narrowly Mixed on Yukos, Gulf Restarts"
18145,Sci/tech,Hewlett-Packard to Launch Latest Push Into Consumer Markets
18146,Business,IMF failing to agree on debt plan
18147,Business,Stocks Set to Open Lower as Oil Rises
18148,Sports,Punching his way forward
18149,Business,A Shrinking Airline Industry Offers Limited Options
18150,Business,Spitzer Said to Pursue Record Labels - NYTimes
18151,Sci/tech,Siemens and Ningbo Bird Deny They #39;re in Talks Over Mobile Unit
18152,Sports,Danny Williams: Self Help Contender
18153,Sports,Glaus goes to Diamondbacks
18154,Sci/tech,Here's the Nobel. Now Explain It to Your Grandmother.
18155,World,"Pakistan, Afghanistan vow to curb terrorism as Karzai meets Musharraf (AFP)"
18156,Sci/tech,Alarm Raised over Antarctic #39;s Rapid Ice Flow
18157,Sci/tech,Apple zealots slam Real #39;s iPod campaign
18158,Sports,"Forget politics, lifting Curse of the Bambino is the Series &lt;b&gt;...&lt;/b&gt;"
18159,Sci/tech,AMD Aims Low-cost Personal Internet Communicator at Developing &lt;b&gt;...&lt;/b&gt;
18160,World,UN 'optimistic' over aid effort
18161,Business,CalPERS goes after  #39;egregious #39; exec pay
18162,World,New Yorkers in Congress Expect a Budget Fight
18163,Sci/tech,"Internet users not as safe online as they believe, researchers &lt;b&gt;...&lt;/b&gt;"
18164,Sci/tech,Dietary Supplement Industry Hops on Low-Carb Diet Trend
18165,Business,Eurostar turns 10 years old
18166,Sports,Florida State #39;s Thorpe suspended one game
18167,Sci/tech,Christopher Reeve Put Super Effort Toward Research
18168,Sports,Bertuzzi Enters Plea
18169,World,Ukraine PM to meet challenger in poll run-off
18170,Sports,Loeb is on course to equal win milestone
18171,Sports,Smith probable for Eagles' season opener
18172,Sports,Cowher optimistic that Roethlisberger can handle the job
18173,World,New turmoil at the European Commission
18174,Sci/tech,Sun doubles UltraSparc performance
18175,World,Troops deployed after Indian terror attacks
18176,World,Seven Foreign Truckers Freed in Iraq; France Anxious
18177,World,Man hacks 8 kids to death
18178,Business,Infineon says funds are enough to cover price-fixing cases
18179,World,Brazil's Ruling Party Faces Sao Paulo Run-Off Vote
18180,Business,Profit could miss Wall St. forecast by as much as 42
18181,World,Bush Still Optimistic About Iraq (AP)
18182,Business,Lawsuits fly over Northwest #39;s new GDS fees
18183,Business,"US Airways, pilots seek common ground"
18184,Sci/tech,In Brief: Sleepycat releases Berkeley DB XML 2.0 (InfoWorld)
18185,Sci/tech,Intel Raises 4th-Quarter Sales Forecast (AP)
18186,World,HAMAS FIEND SURRENDERS IN HIS SKIVVIES
18187,Business,Colorado telecom on buyout streak
18188,World,"UN, France Demand Gbabgo End Ivory Coast Violence"
18189,World,Labor warns marginals on Telstra sale
18190,World,Hamas threatens to target Israelis abroad
18191,Sports,Giants Top Phillies 3-1 to Finish Sweep (AP)
18192,Sports,Angels doing devil of a job
18193,Business,MGM Mirage Profit Up on Las Vegas Tourism (Reuters)
18194,World,Burma shuts down military intelligence office
18195,Sports,Williams happy with silver in 100
18196,Sci/tech,Dutch Dioxin Scare Spreads to France and Spain (Reuters)
18197,World,"Portugal PM, Cabinet Submit Resignations"
18198,Business,Shanghai Auto signs deal to buy Ssangyong Motor
18199,Sports,UPDATE 1-Liverpool manager against Everton ground-share
18200,Sports,US Men Take Gold and Bronze in Cycling Time Trial
18201,Sci/tech,Red Hat Releases New Linux Update
18202,Sci/tech,"Asian Elephants Threatened by Poachers, Western Zoos (Reuters)"
18203,Sci/tech,Supercomputers Aid Hurricane Forecasting
18204,Business,Tax gain helps Toy  #39;R #39; Us Inc. post profit
18205,Business,Banishing bell-ringers takes a toll
18206,Business,Microsoft hopeful of settlement in EU case
18207,Sci/tech,Microsoft Warns on Spyware's Impact on Update
18208,Business,"Judge: Oracle, PeopleSoft Drawn Closer"
18209,Sports,The powder keg wouldn #39;t have exploded if Artest hadn #39;t lit the &lt;b&gt;...&lt;/b&gt;
18210,Sports,Premiership: Manchester United V Arsenal - Clash of the Titans
18211,Sci/tech,Intel's Barrett takes on the 'power challenge'
18212,World,Tests Show James Died of Heart Attack
18213,World,Jailed Leader to Run for Arafat's Job (AP)
18214,World,"American Combat Deaths in Iraq Hit 1,001"
18215,World,Abu Hamza to face charges in Britain
18216,Sci/tech,Free Online Legal Service Launched (AP)
18217,World,Bonds Reportedly Testified He Had Unknowingly Taken Steroids
18218,Sci/tech,Munich migrates to Linux despite EU debate
18219,Business,Computer Associates ex-CEO charged with massive fr
18220,Business,AOL: Is Half a Billion Enough?
18221,World,Arafat #39;s health raises questions about Mideast
18222,Sports,Anthony misses victory
18223,Business,Jetstar Asia Seeks Destinations in India
18224,Sci/tech,Politicos Dig Deep for Your Data
18225,World,Senators Censure C.I.A. in Probe of Iraqi Prison Abuse
18226,World,Colombia wins drug lord's house
18227,Sci/tech,PSP Japanese Launch Impressions
18228,Sports,Schweinsteiger hits Bayern winner
18229,Sci/tech,Seagate ships 400GB PC hard disk drive
18230,World,"Haitians pray for dead, give thanks for their lives"
18231,Business,"Sprint and Nextel to Merge, Creating Cellphone Powerhouse"
18232,Sci/tech,A Digital Generation's Analog Chic
18233,World,"Pakistan, India leaders vow cooperation"
18234,Business,Dillard's Loss Narrows But Off Estimates
18235,Business,Toyota Motor sets up JV in Guangzhou
18236,World,Pope Urges Greater Christian Harmony (AP)
18237,World,"Pakistan Says Militants on the Run, Despite Blast"
18238,Business,Stocks End Higher After Fed Rate Hike
18239,Business,"Boeing #39;s quarterly profits increase 78 per cent, raises 2004 &lt;b&gt;...&lt;/b&gt;"
18240,World,Two Private Planes Violate Bush Air Space (AP)
18241,Sports,"Maroth finally gets 11th win, 3-1"
18242,Sports,NASCAR lifts its ban on liquor ads
18243,Business,HOLLYWOOD GOLD
18244,Sci/tech,Canon CP-330 Compact Photo Printer
18245,Sports,Heatley's Arraignment Waived
18246,Business,"American Airlines plans 1,100 layoffs"
18247,Business,Man Utd warns of lower TV revenues
18248,World,Russian hostage tragedy: Putin takes stock of massacre at school
18249,Sports,Gunners ease past Rosenborg
18250,World,26 Charged in Va. In Document Fraud
18251,Business,Euro Reaches New High against Dollar
18252,Sports,Serena Battles Errors and Golovin to Advance
18253,Business,Fannie Mae leaders face possible ouster 
18254,Business,Japan's Nikkei Average Closes Lower
18255,Business,Oil Platforms in Gulf Make Ready for Ivan
18256,Sports,Stylish Brazilians outclass Bolivia 3-1
18257,Business,"Oil little changed, ponders winter weather"
18258,World,Hurricane Ivan's Fury Kills 20 Along the Middle Gulf Coast
18259,Sports,Astros Beat Cards 3-0 to Take NLCS Lead (AP)
18260,World,Bangladeshi politicians attacked
18261,World,"Iran, Europeans Launch Nuclear Talks Seeking Trust"
18262,Sports,"Hewitt: Grand Slammed, but optimistic"
18263,Business,The Week Ahead
18264,Business,How an accountant made poker a draw again
18265,World,Palestinian Delegation Hoping to See Arafat
18266,Sci/tech,Judge Won't Block Oracle Takeover Bid (AP)
18267,Sci/tech,Expand Beyond gets broad wireless patent
18268,World,Annan Says Security Council Must Act Now On Darfur
18269,Sci/tech,PalmOne #39;s next moves
18270,Sports,MOTOR RACING: I #39;LL BE SIMPLY SECOND BEST
18271,Sports,"India #39;s Pratima, four others suspended for doping :"
18272,Sci/tech,CA acquires PestPatrol
18273,Sci/tech,Oracle sees PeopleSoft profit declining
18274,World,Voters lured to neo-Nazi parties in German elections
18275,Business,Gloom continues at M amp;S
18276,Business,IMF chief counsels Putin on how to double Russia's growth (AFP)
18277,Sports,Gordon Is Out Front
18278,Sci/tech,Headless Bodies Found at Mysterious Mexico Pyramid (Reuters)
18279,Sci/tech,Sun proposes new open-source license
18280,Sci/tech,Swans in a flap about territory
18281,Sports,American Ginepri Crushes Paradorn in Vienna
18282,Sci/tech,Comeback Beavers Butt Heads With Humans
18283,Business,Forecasters See No Repeat of 80s Oil Bust
18284,Business,L-3's Art of the Deal
18285,World,Schrder #39;s Afghan Visit on Track
18286,Business,House price growth 'still strong'
18287,World,'Rebel' governor rejects Karzai offer
18288,World,Six found guilty in Pitcairn abuse case
18289,Business,Crude oil close to record
18290,Business,"Kodiak missile goes up, but interceptor fails"
18291,Sports,Vargas valiant in loss
18292,Sci/tech,Funner Worm Spreads to US
18293,World,CBS Defends Report on Bush Guard Memos
18294,Business,"Bombardier to cut 2,200 more jobs, reports poor 3Q earnings"
18295,Sci/tech,Oracle Vows 'Oversupport' for PeopleSoft Customers (Reuters)
18296,Sci/tech,Apple #39;s flaming batteries recalled
18297,World,"UN Peacekeepers, Haitian Police Arrest 75 in Sweep"
18298,Sci/tech,Movie studios take sides in fight over DVD formats (SiliconValley.com)
18299,Sci/tech,The Rovers
18300,Sports,Hewitt and Henman advance in Paris
18301,Sports,Scoring streak cheers Owen
18302,Sports,Drexler Headlines Hall of Fame Inductees (Reuters)
18303,Business,Seven operators team up for Asian mobile venture
18304,Sports,Makybe Diva joins racing immortals
18305,Sports,AL: Angels stay in hunt with win over A #39;s
18306,Business,Signs of listless economy persist
18307,Business,Trump offered \$US400m for casino stake
18308,World,Opp will be taken along on all issues: Shaukat
18309,World,Chechen Warlord Issues Warning to Russia
18310,Business,Martha Stewart Reports to Jail to Begin Sentence
18311,Sports,Pistons #39; defense puts brakes on Timberwolves
18312,Business,FedEx Hikes Profit Forecast and Cites Demand
18313,Sports,US NBA stars advance by ousting Spain (AFP)
18314,Business,Sleep disorders cause concern for overnight shift workers
18315,Sci/tech,Pledge Allegiance to the Penguin
18316,Business,"Board Members, Executives and Family Members Can Still Benefit"
18317,Business,Charterhouse wins battle for Saga
18318,Sci/tech,Opera Browser To Be Available For Windows Mobile
18319,World,Kerry to Attack Bush Troop Withdrawal Plan (Reuters)
18320,World,Dutch Muslims dismayed by anti-Islamic backlash
18321,Sports,And they #39;re ready ...
18322,World,Car bomb kills at least 20 in Pakistan
18323,Business,"Ford, GM report weak November; Toyota, Nissan, Chrysler up"
18324,World,"Indonesia's Megawati Apologizes, Warns on Terror"
18325,Sci/tech,Dell and Philips Ink \$700 Million Deal
18326,Business,"Caesars Profit Rises, But Outlook Lags (Reuters)"
18327,Business,Jury Finds No Fraud in Big Asbestos Case
18328,Sports,North Carolina Stuns No. 4 Miami 31-28
18329,Sci/tech, #39;Paparazzi #39; watch calls time on celeb searches
18330,Sports,Texas Rangers Reliever Charged with Assaulting Fan
18331,Sci/tech,Earth's Best View of the Stars is in Antarctica
18332,World,Muslim envoys off to Baghdad in bid to free British hostage (AFP)
18333,Sports,Founding father Gerry Snyder feels city government let Expos down
18334,World,McCallum says no exemption for bilingualism in budget reviews (Canadian Press)
18335,Sci/tech,N.Y. Atty General Announces Drug-Price Web Site (Reuters)
18336,Business,Update 1: German Business Sentiment Drops in Nov.
18337,World,Bomb at India Independence Parade Kills 15 (AP)
18338,World,"UN Says Sudan Death Toll Reaches 70,000"
18339,Business,Rocket program deep in the red
18340,World,EU ministers fail to resolve issue of transit camps
18341,Sports,The Worm works out with Nuggets
18342,Sci/tech,Sony Takes on iPod with New Hard Disk Walkman (Reuters)
18343,Sports,Goosen Dominates
18344,Sports,Fighting Irish should build on momentum
18345,Sci/tech,Genesis Team Hopeful About Samples
18346,Sci/tech,"As Ice Thaws, Arctic Peoples at Loss for Words (Reuters)"
18347,Sci/tech,IBM supercomputer sets world speed record
18348,Sci/tech,Russia launches manned space mission to ISS
18349,Business,EU to lift \$4bn sanctions on US imports
18350,Sports,Creating some enthusiasm
18351,Business,GE Gives Airline Help On Leases
18352,Sci/tech,Goodall Says Environment at  #39;Crossroads #39;
18353,Business,Police have no suspects in killings of elderly couple
18354,Sports,Packers Go Right to Top in Their Bid for N.F.C. Supremacy
18355,Sports,"Spills apart, India hold edge in thriller"
18356,World,"US, UK Knew of Equatorial Guinea Plot, Sunday Times Says"
18357,Business,Wong quits top post in Hong Kong
18358,Business,Russia fund surplus  #39;can help curb debt #39;
18359,Sci/tech,Some Dell AC Adaptors Recalled for Safety Problems
18360,Sports,NHL players #39; new offer includes 24 salary cut
18361,Business,Bombardier Says Air Canada May Buy up to 90 Aircraft (Update1)
18362,World,"Sudan, rebels reach Darfur accords"
18363,Business,Yukos awaits US ruling on break-up order
18364,Sci/tech,"So Far, Recount Shows No Problem"
18365,Sports,Swansong for Gebrselassie
18366,Business,China's Economic Boom Still Roaring (AP)
18367,Sports,IT #39;S A BIG STRIDE FOR POULTER AS SERGIO IS PIPPED
18368,World,British  quot;Batman quot; on the Buckingham Palace walls
18369,Business,China raises rates to cool growth
18370,Business,Citigroup #39;s Krawcheck gets No. 2 post
18371,World,Najaf stand-off has beginnings in earlier US failures in Fallujah
18372,World,Germans Say Plot Against Allawi Foiled; 3 Arrested
18373,Sci/tech,"Hi honey, I #39;m virtually home alone"
18374,Sci/tech,Babies prefer attractive faces
18375,Business,Oracle to nominate four candidates for PeopleSoft board
18376,Business,Pound soars against dollar after shock rise in retail sales (AFP)
18377,Business,Defense Bill Would Nullify \$23B Boeing Deal
18378,World,India warned by extremists
